indicator_id,sep_id,level,years
60000,6,2,"2015,2030,2050"
60100,6,2,"2015,2030,2050"
60001,6,3,2015
60002,6,3,2015
60003,6,3,"2015,2030,2050"
60101,6,3,2015
60102,6,3,2015
60103,6,3,"2015,2030,2050"
60004,6,4,2015
60005,6,4,2015
60104,6,4,2015
60105,6,4,2015
60006,6,5,2015
60007,6,5,2015
60008,6,5,2015
60009,6,5,2015
60010,6,5,2015
60011,6,5,2018
60012,6,5,2015
60106,6,5,2015
60107,6,5,2015
60108,6,5,2015
60109,6,5,2015
60110,6,5,2015
60111,6,5,2018
60112,6,5,2015
60013,6,6,2016
60014,6,6,2015
60015,6,6,2015
60016,6,6,2015
60017,6,6,2015
60018,6,6,2020
60019,6,6,2020
60020,6,6,2020
60021,6,6,2020
60022,6,6,2020
60023,6,6,2020
60024,6,6,2020
60025,6,6,2020
60026,6,6,2020
60027,6,6,2020
60028,6,6,2015
60029,6,6,2016
60030,6,6,2010
60031,6,6,2010
60032,6,6,2010
60033,6,6,2010
60034,6,6,2020
60035,6,6,2015
60036,6,6,2017
60037,6,6,2015
60038,6,6,2018
60039,6,6,2015
60113,6,6,2016
60114,6,6,2015
60115,6,6,2015
60116,6,6,2015
60117,6,6,2015
60118,6,6,2020
60119,6,6,2020
60120,6,6,2020
60121,6,6,2020
60122,6,6,2020
60123,6,6,2020
60124,6,6,2020
60125,6,6,2020
60126,6,6,2020
60127,6,6,2020
60128,6,6,2015
60129,6,6,2016
60130,6,6,2010
60131,6,6,2010
60132,6,6,2010
60133,6,6,2010
60134,6,6,2020
60135,6,6,2015
60136,6,6,2017
60137,6,6,2015
60138,6,6,2018
60139,6,6,2015
